"ID_Venta","ID_Producto","Fecha","Zip","Unidades","Ingreso","Pais.x","Producto","Categoria","Segmento","Fabricante","Estado","Pais.y"
35,2359,"6/22/2015","M4N",1,5606.37,"Canada","Aliqui UC-07","Urban","Convenience","Aliqui","Ontario","Canada"
36,1714,"6/22/2015","R3H",1,1259.37,"Canada","Salvus YY-25","Youth","Youth","Salvus","Manitoba","Canada"
37,942,"4/8/2015","R3G",1,7370.37,"Canada","Natura UC-05","Urban","Convenience","Natura","Manitoba","Canada"
38,1180,"4/8/2015","L5G",1,6173.37,"Canada","Pirum UE-16","Urban","Extreme","Pirum","Ontario","Canada"
39,1517,"4/8/2015","K1Z",1,2770.74,"Canada","Quibus RP-09","Rural","Productivity","Quibus","Ontario","Canada"
40,674,"4/5/2015","M5S",1,8315.37,"Canada","Maximus UC-39","Urban","Convenience","VanArsdel","Ontario","Canada"
41,1049,"3/15/2015","R3G",1,3086.37,"Canada","Pirum MA-07","Mix","All Season","Pirum","Manitoba","Canada"
42,1129,"3/15/2015","L5P",1,5543.37,"Canada","Pirum UM-06","Urban","Moderation","Pirum","Ontario","Canada"
43,2069,"3/16/2015","K1R",1,6299.37,"Canada","Currus UC-04","Urban","Convenience","Currus","Ontario","Canada"
44,585,"3/23/2015","M6H",1,5039.37,"Canada","Maximus UC-50","Urban","Convenience","VanArsdel","Ontario","Canada"
45,1137,"3/23/2015","M6S",1,8945.37,"Canada","Pirum UM-14","Urban","Moderation","Pirum","Ontario","Canada"
46,2384,"3/23/2015","M5X",1,7968.87,"Canada","Aliqui UC-32","Urban","Convenience","Aliqui","Ontario","Canada"
47,690,"3/23/2015","M6H",1,4409.37,"Canada","Maximus UC-55","Urban","Convenience","VanArsdel","Ontario","Canada"
48,1958,"3/23/2015","M4X",1,944.37,"Canada","Currus RP-33","Rural","Productivity","Currus","Ontario","Canada"
49,491,"3/24/2015","R3H",1,10709.37,"Canada","Maximus UM-96","Urban","Moderation","VanArsdel","Manitoba","Canada"
50,1722,"4/6/2015","H1B",2,2077.74,"Canada","Salvus YY-33","Youth","Youth","Salvus","Quebec","Canada"
51,959,"4/6/2015","M4P",1,10362.87,"Canada","Natura UC-22","Urban","Convenience","Natura","Ontario","Canada"
52,2143,"4/6/2015","M7Y",1,5291.37,"Canada","Victoria UR-19","Urban","Regular","Victoria","Ontario","Canada"
53,2150,"4/6/2015","R3G",1,6173.37,"Canada","Victoria UE-03","Urban","Extreme","Victoria","Manitoba","Canada"
54,1060,"4/30/2015","R3N",1,1889.37,"Canada","Pirum RP-06","Rural","Productivity","Pirum","Manitoba","Canada"
55,2215,"4/30/2015","R3B",1,4724.37,"Canada","Aliqui RP-12","Rural","Productivity","Aliqui","Manitoba","Canada"
56,2099,"4/30/2015","L5N",1,5165.37,"Canada","Currus YY-03","Youth","Youth","Currus","Ontario","Canada"
57,487,"4/30/2015","M6H",1,13229.37,"Canada","Maximus UM-92","Urban","Moderation","VanArsdel","Ontario","Canada"
58,690,"1/31/2015","L5G",1,4409.37,"Canada","Maximus UC-55","Urban","Convenience","VanArsdel","Ontario","Canada"
59,1077,"2/1/2015","R3B",1,4220.37,"Canada","Pirum RP-23","Rural","Productivity","Pirum","Manitoba","Canada"
60,1078,"2/1/2015","R3B",1,4220.37,"Canada","Pirum RP-24","Rural","Productivity","Pirum","Manitoba","Canada"
61,535,"2/2/2015","L5G",1,6485.85,"Canada","Maximus UE-23","Urban","Extreme","VanArsdel","Ontario","Canada"
62,907,"2/15/2015","M7Y",1,7307.37,"Canada","Natura UE-16","Urban","Extreme","Natura","Ontario","Canada"
63,491,"2/15/2015","M7Y",1,10709.37,"Canada","Maximus UM-96","Urban","Moderation","VanArsdel","Ontario","Canada"
64,907,"2/5/2015","M6S",1,7307.37,"Canada","Natura UE-16","Urban","Extreme","Natura","Ontario","Canada"
65,978,"2/5/2015","R3W",1,9638.37,"Canada","Natura UC-41","Urban","Convenience","Natura","Manitoba","Canada"
66,2225,"2/18/2015","L5N",1,723.87,"Canada","Aliqui RP-22","Rural","Productivity","Aliqui","Ontario","Canada"
67,2224,"2/18/2015","L5N",1,723.87,"Canada","Aliqui RP-21","Rural","Productivity","Aliqui","Ontario","Canada"
68,1180,"2/18/2015","L5T",1,6173.37,"Canada","Pirum UE-16","Urban","Extreme","Pirum","Ontario","Canada"
69,438,"3/31/2015","R3K",1,11969.37,"Canada","Maximus UM-43","Urban","Moderation","VanArsdel","Manitoba","Canada"
70,927,"3/31/2015","M6H",1,6173.37,"Canada","Natura UE-36","Urban","Extreme","Natura","Ontario","Canada"
71,927,"3/31/2015","M6S",1,6173.37,"Canada","Natura UE-36","Urban","Extreme","Natura","Ontario","Canada"
72,690,"3/14/2015","M5X",1,4409.37,"Canada","Maximus UC-55","Urban","Convenience","VanArsdel","Ontario","Canada"
73,1339,"3/15/2015","L5R",1,3463.74,"Canada","Quibus RP-31","Rural","Productivity","Quibus","Ontario","Canada"
74,487,"3/15/2015","M7Y",1,13229.37,"Canada","Maximus UM-92","Urban","Moderation","VanArsdel","Ontario","Canada"
75,556,"3/15/2015","M6H",1,10268.37,"Canada","Maximus UC-21","Urban","Convenience","VanArsdel","Ontario","Canada"
76,1340,"3/15/2015","L5R",1,3463.74,"Canada","Quibus RP-32","Rural","Productivity","Quibus","Ontario","Canada"
77,907,"3/15/2015","L5T",1,7244.37,"Canada","Natura UE-16","Urban","Extreme","Natura","Ontario","Canada"
78,506,"1/30/2015","L5P",1,15560.37,"Canada","Maximus UM-11","Urban","Moderation","VanArsdel","Ontario","Canada"
79,578,"1/30/2015","L5N",1,9449.37,"Canada","Maximus UC-43","Urban","Convenience","VanArsdel","Ontario","Canada"
80,993,"1/30/2015","R3V",1,4409.37,"Canada","Natura UC-56","Urban","Convenience","Natura","Manitoba","Canada"
81,996,"2/9/2015","R3E",1,8630.37,"Canada","Natura UC-59","Urban","Convenience","Natura","Manitoba","Canada"
82,604,"4/2/2015","L5H",1,6299.37,"Canada","Maximus UC-69","Urban","Convenience","VanArsdel","Ontario","Canada"
83,2055,"4/2/2015","R3V",1,7874.37,"Canada","Currus UE-15","Urban","Extreme","Currus","Manitoba","Canada"
84,1043,"3/10/2015","R3G",1,4346.37,"Canada","Pirum MA-01","Mix","All Season","Pirum","Manitoba","Canada"
85,2369,"3/10/2015","M4P",1,5096.7,"Canada","Aliqui UC-17","Urban","Convenience","Aliqui","Ontario","Canada"
86,733,"3/10/2015","R3B",1,4787.37,"Canada","Natura RP-21","Rural","Productivity","Natura","Manitoba","Canada"
87,995,"3/10/2015","M4V",1,7181.37,"Canada","Natura UC-58","Urban","Convenience","Natura","Ontario","Canada"
88,457,"3/10/2015","M5X",1,11969.37,"Canada","Maximus UM-62","Urban","Moderation","VanArsdel","Ontario","Canada"
89,2331,"3/23/2015","K1R",1,7868.7,"Canada","Aliqui UE-05","Urban","Extreme","Aliqui","Ontario","Canada"
90,977,"3/23/2015","K1H",1,6299.37,"Canada","Natura UC-40","Urban","Convenience","Natura","Ontario","Canada"
91,1191,"3/23/2015","L5P",1,3212.37,"Canada","Pirum UE-27","Urban","Extreme","Pirum","Ontario","Canada"
92,2225,"4/3/2015","L5N",1,723.87,"Canada","Aliqui RP-22","Rural","Productivity","Aliqui","Ontario","Canada"
93,2224,"4/3/2015","L5N",1,723.87,"Canada","Aliqui RP-21","Rural","Productivity","Aliqui","Ontario","Canada"
94,531,"1/12/2015","M6G",1,7556.85,"Canada","Maximus UE-19","Urban","Extreme","VanArsdel","Ontario","Canada"
95,907,"1/12/2015","L5R",1,7307.37,"Canada","Natura UE-16","Urban","Extreme","Natura","Ontario","Canada"
96,1714,"1/13/2015","R3G",1,1259.37,"Canada","Salvus YY-25","Youth","Youth","Salvus","Manitoba","Canada"
97,457,"1/14/2015","L5P",1,11969.37,"Canada","Maximus UM-62","Urban","Moderation","VanArsdel","Ontario","Canada"
98,405,"1/14/2015","M4Y",1,22994.37,"Canada","Maximus UM-10","Urban","Moderation","VanArsdel","Ontario","Canada"
99,487,"1/15/2015","M5R",1,13229.37,"Canada","Maximus UM-92","Urban","Moderation","VanArsdel","Ontario","Canada"
100,626,"1/15/2015","H1G",1,17009.37,"Canada","Maximus UC-91","Urban","Convenience","VanArsdel","Quebec","Canada"
101,808,"1/16/2015","K1R",1,4535.37,"Canada","Natura RS-12","Rural","Select","Natura","Ontario","Canada"
102,506,"3/31/2015","L5N",1,15560.37,"Canada","Maximus UM-11","Urban","Moderation","VanArsdel","Ontario","Canada"
103,517,"3/31/2015","M6H",1,8186.85,"Canada","Maximus UE-05","Urban","Extreme","VanArsdel","Ontario","Canada"
104,927,"3/31/2015","L5N",1,6173.37,"Canada","Natura UE-36","Urban","Extreme","Natura","Ontario","Canada"
105,996,"3/31/2015","M4E",1,8630.37,"Canada","Natura UC-59","Urban","Convenience","Natura","Ontario","Canada"
106,736,"4/9/2015","M6H",1,4661.37,"Canada","Natura RP-24","Rural","Productivity","Natura","Ontario","Canada"
107,438,"4/9/2015","R3H",1,11969.37,"Canada","Maximus UM-43","Urban","Moderation","VanArsdel","Manitoba","Canada"
108,636,"4/9/2015","M7Y",1,10583.37,"Canada","Maximus UC-01","Urban","Convenience","VanArsdel","Ontario","Canada"
109,1530,"4/9/2015","M5R",1,5038.74,"Canada","Quibus RP-22","Rural","Productivity","Quibus","Ontario","Canada"
110,735,"4/9/2015","M6H",1,4661.37,"Canada","Natura RP-23","Rural","Productivity","Natura","Ontario","Canada"
111,2224,"3/17/2015","L5P",1,723.87,"Canada","Aliqui RP-21","Rural","Productivity","Aliqui","Ontario","Canada"
112,438,"4/28/2015","K1R",1,11969.37,"Canada","Maximus UM-43","Urban","Moderation","VanArsdel","Ontario","Canada"
113,945,"4/28/2015","R3B",1,8189.37,"Canada","Natura UC-08","Urban","Convenience","Natura","Manitoba","Canada"
114,910,"4/28/2015","L5N",1,5165.37,"Canada","Natura UE-19","Urban","Extreme","Natura","Ontario","Canada"
115,945,"4/28/2015","R3V",2,16378.74,"Canada","Natura UC-08","Urban","Convenience","Natura","Manitoba","Canada"
116,826,"4/28/2015","R3T",1,14426.37,"Canada","Natura UM-10","Urban","Moderation","Natura","Manitoba","Canada"
117,907,"4/28/2015","R3T",1,7559.37,"Canada","Natura UE-16","Urban","Extreme","Natura","Manitoba","Canada"
118,939,"4/28/2015","R3T",1,4409.37,"Canada","Natura UC-02","Urban","Convenience","Natura","Manitoba","Canada"
119,945,"4/28/2015","R3T",1,8189.37,"Canada","Natura UC-08","Urban","Convenience","Natura","Manitoba","Canada"
120,1019,"4/28/2015","L4X",1,2834.37,"Canada","Natura YY-20","Youth","Youth","Natura","Ontario","Canada"
121,579,"3/16/2015","R3H",1,15938.37,"Canada","Maximus UC-44","Urban","Convenience","VanArsdel","Manitoba","Canada"
122,760,"4/6/2015","M7Y",1,1983.87,"Canada","Natura RP-48","Rural","Productivity","Natura","Ontario","Canada"
123,556,"3/16/2015","R3G",1,10268.37,"Canada","Maximus UC-21","Urban","Convenience","VanArsdel","Manitoba","Canada"
124,491,"2/3/2015","M7Y",1,10709.37,"Canada","Maximus UM-96","Urban","Moderation","VanArsdel","Ontario","Canada"
125,407,"2/3/2015","M6G",1,20505.87,"Canada","Maximus UM-12","Urban","Moderation","VanArsdel","Ontario","Canada"
126,496,"2/3/2015","L5V",1,11147.85,"Canada","Maximus UM-01","Urban","Moderation","VanArsdel","Ontario","Canada"
127,438,"2/4/2015","L5P",1,11969.37,"Canada","Maximus UM-43","Urban","Moderation","VanArsdel","Ontario","Canada"
128,907,"2/5/2015","L5G",1,7307.37,"Canada","Natura UE-16","Urban","Extreme","Natura","Ontario","Canada"
129,1134,"1/8/2015","L5T",1,10583.37,"Canada","Pirum UM-11","Urban","Moderation","Pirum","Ontario","Canada"
130,26,"1/8/2015","M5L",1,9292.5,"Canada","Abbas MA-26","Mix","All Season","Abbas","Ontario","Canada"
131,996,"1/9/2015","R3H",1,8630.37,"Canada","Natura UC-59","Urban","Convenience","Natura","Manitoba","Canada"
132,2361,"1/9/2015","M4N",1,7238.7,"Canada","Aliqui UC-09","Urban","Convenience","Aliqui","Ontario","Canada"
133,529,"1/11/2015","R3V",1,5669.37,"Canada","Maximus UE-17","Urban","Extreme","VanArsdel","Manitoba","Canada"
134,107,"1/12/2015","M6H",1,6870.15,"Canada","Abbas UM-34","Urban","Moderation","Abbas","Ontario","Canada"
135,1889,"4/1/2015","L4Y",1,8693.37,"Canada","Leo UC-08","Urban","Convenience","Leo","Ontario","Canada"
136,1518,"4/8/2015","K1Z",1,2770.74,"Canada","Quibus RP-10","Rural","Productivity","Quibus","Ontario","Canada"
137,2368,"5/25/2015","T6R",1,8687.7,"Canada","Aliqui UC-16","Urban","Convenience","Aliqui","Alberta","Canada"
138,2369,"5/25/2015","T6E",1,5096.7,"Canada","Aliqui UC-17","Urban","Convenience","Aliqui","Alberta","Canada"
139,2055,"5/31/2015","T6E",1,7874.37,"Canada","Currus UE-15","Urban","Extreme","Currus","Alberta","Canada"
140,793,"6/1/2015","V5W",1,1070.37,"Canada","Natura RP-81","Rural","Productivity","Natura","British Columbia","Canada"
141,1182,"6/1/2015","T6G",1,2708.37,"Canada","Pirum UE-18","Urban","Extreme","Pirum","Alberta","Canada"
142,927,"6/1/2015","V5Z",1,6047.37,"Canada","Natura UE-36","Urban","Extreme","Natura","British Columbia","Canada"
143,993,"6/1/2015","V6Z",1,4409.37,"Canada","Natura UC-56","Urban","Convenience","Natura","British Columbia","Canada"
144,1180,"6/1/2015","T5K",1,6173.37,"Canada","Pirum UE-16","Urban","Extreme","Pirum","Alberta","Canada"
145,1182,"6/1/2015","T6E",1,2519.37,"Canada","Pirum UE-18","Urban","Extreme","Pirum","Alberta","Canada"
146,794,"6/1/2015","V5W",1,1070.37,"Canada","Natura RP-82","Rural","Productivity","Natura","British Columbia","Canada"
147,1391,"5/28/2015","T2X",1,2266.74,"Canada","Quibus RP-83","Rural","Productivity","Quibus","Alberta","Canada"
148,636,"5/29/2015","V6J",1,11118.87,"Canada","Maximus UC-01","Urban","Convenience","VanArsdel","British Columbia","Canada"
149,2332,"5/29/2015","T6G",1,6356.7,"Canada","Aliqui UE-06","Urban","Extreme","Aliqui","Alberta","Canada"
150,438,"5/25/2015","R2G",1,11969.37,"Canada","Maximus UM-43","Urban","Moderation","VanArsdel","Manitoba","Canada"
151,1348,"5/25/2015","T5B",1,4156.74,"Canada","Quibus RP-40","Rural","Productivity","Quibus","Alberta","Canada"
152,394,"5/25/2015","T6T",1,19686.87,"Canada","Maximus RS-01","Rural","Select","VanArsdel","Alberta","Canada"
153,438,"5/25/2015","T6P",1,11969.37,"Canada","Maximus UM-43","Urban","Moderation","VanArsdel","Alberta","Canada"
154,506,"5/25/2015","T6G",1,15560.37,"Canada","Maximus UM-11","Urban","Moderation","VanArsdel","Alberta","Canada"
155,443,"5/26/2015","T6G",1,11084.85,"Canada","Maximus UM-48","Urban","Moderation","VanArsdel","Alberta","Canada"
156,1299,"5/26/2015","V6H",1,6487.74,"Canada","Quibus MA-35","Mix","All Season","Quibus","British Columbia","Canada"
157,2396,"5/26/2015","T5J",1,1442.7,"Canada","Aliqui YY-05","Youth","Youth","Aliqui","Alberta","Canada"
158,2275,"5/26/2015","V6J",1,4472.37,"Canada","Aliqui RS-08","Rural","Select","Aliqui","British Columbia","Canada"
159,2371,"5/26/2015","V6J",1,6866.37,"Canada","Aliqui UC-19","Urban","Convenience","Aliqui","British Columbia","Canada"
160,1722,"5/26/2015","T3G",1,1038.87,"Canada","Salvus YY-33","Youth","Youth","Salvus","Alberta","Canada"
161,295,"5/27/2015","V5M",1,12596.85,"Canada","Fama UE-16","Urban","Extreme","Fama","British Columbia","Canada"
162,2396,"5/27/2015","V6S",1,1385.37,"Canada","Aliqui YY-05","Youth","Youth","Aliqui","British Columbia","Canada"
163,1180,"6/21/2015","T5B",1,6173.37,"Canada","Pirum UE-16","Urban","Extreme","Pirum","Alberta","Canada"
164,794,"6/22/2015","V6Z",1,1070.37,"Canada","Natura RP-82","Rural","Productivity","Natura","British Columbia","Canada"
165,2218,"6/22/2015","V6M",1,1763.37,"Canada","Aliqui RP-15","Rural","Productivity","Aliqui","British Columbia","Canada"
166,781,"6/22/2015","T5C",1,1322.37,"Canada","Natura RP-69","Rural","Productivity","Natura","Alberta","Canada"
167,993,"6/22/2015","V6J",1,4598.37,"Canada","Natura UC-56","Urban","Convenience","Natura","British Columbia","Canada"
168,1212,"6/22/2015","T6E",1,5259.87,"Canada","Pirum UC-14","Urban","Convenience","Pirum","Alberta","Canada"
169,207,"6/22/2015","T5B",1,11843.37,"Canada","Barba UM-09","Urban","Moderation","Barba","Alberta","Canada"
170,793,"6/22/2015","V6Z",1,1070.37,"Canada","Natura RP-81","Rural","Productivity","Natura","British Columbia","Canada"
171,782,"6/22/2015","T5C",1,1322.37,"Canada","Natura RP-70","Rural","Productivity","Natura","Alberta","Canada"
172,2219,"6/22/2015","V6M",1,1763.37,"Canada","Aliqui RP-16","Rural","Productivity","Aliqui","British Columbia","Canada"
173,487,"6/23/2015","V5X",1,13229.37,"Canada","Maximus UM-92","Urban","Moderation","VanArsdel","British Columbia","Canada"
174,2219,"4/8/2015","V5N",1,1826.37,"Canada","Aliqui RP-16","Rural","Productivity","Aliqui","British Columbia","Canada"
175,2412,"4/8/2015","V6A",1,1290.87,"Canada","Aliqui YY-21","Youth","Youth","Aliqui","British Columbia","Canada"
176,1344,"5/24/2015","M7Y",1,4408.74,"Canada","Quibus RP-36","Rural","Productivity","Quibus","Ontario","Canada"
177,491,"5/24/2015","R3G",1,10709.37,"Canada","Maximus UM-96","Urban","Moderation","VanArsdel","Manitoba","Canada"
178,1223,"5/25/2015","L5P",1,4787.37,"Canada","Pirum UC-25","Urban","Convenience","Pirum","Ontario","Canada"
179,407,"5/25/2015","R3H",1,20505.87,"Canada","Maximus UM-12","Urban","Moderation","VanArsdel","Manitoba","Canada"
180,2368,"6/24/2015","M5X",1,8687.7,"Canada","Aliqui UC-16","Urban","Convenience","Aliqui","Ontario","Canada"
181,2350,"6/24/2015","R3H",1,4466.7,"Canada","Aliqui UE-24","Urban","Extreme","Aliqui","Manitoba","Canada"
182,545,"6/24/2015","M5L",1,10835.37,"Canada","Maximus UC-10","Urban","Convenience","VanArsdel","Ontario","Canada"
183,926,"6/24/2015","K1R",1,6803.37,"Canada","Natura UE-35","Urban","Extreme","Natura","Ontario","Canada"
184,2393,"6/24/2015","L5R",2,2702.07,"Canada","Aliqui YY-02","Youth","Youth","Aliqui","Ontario","Canada"
185,549,"6/24/2015","M6S",1,6614.37,"Canada","Maximus UC-14","Urban","Convenience","VanArsdel","Ontario","Canada"
186,2354,"6/25/2015","M4S",1,4661.37,"Canada","Aliqui UC-02","Urban","Convenience","Aliqui","Ontario","Canada"
187,407,"6/25/2015","L5P",1,20505.87,"Canada","Maximus UM-12","Urban","Moderation","VanArsdel","Ontario","Canada"
188,2045,"6/25/2015","M6H",1,6173.37,"Canada","Currus UE-05","Urban","Extreme","Currus","Ontario","Canada"
189,599,"6/25/2015","R3S",1,10643.85,"Canada","Maximus UC-64","Urban","Convenience","VanArsdel","Manitoba","Canada"
190,1180,"6/25/2015","L5N",1,6299.37,"Canada","Pirum UE-16","Urban","Extreme","Pirum","Ontario","Canada"
191,506,"6/25/2015","R3A",1,15560.37,"Canada","Maximus UM-11","Urban","Moderation","VanArsdel","Manitoba","Canada"
192,1022,"3/31/2015","R3X",1,1889.37,"Canada","Natura YY-23","Youth","Youth","Natura","Manitoba","Canada"
193,1077,"3/31/2015","L5T",1,4220.37,"Canada","Pirum RP-23","Rural","Productivity","Pirum","Ontario","Canada"
194,1180,"3/31/2015","M5R",1,6173.37,"Canada","Pirum UE-16","Urban","Extreme","Pirum","Ontario","Canada"
195,1183,"3/31/2015","M4E",1,7559.37,"Canada","Pirum UE-19","Urban","Extreme","Pirum","Ontario","Canada"
196,1879,"4/1/2015","M6H",1,11339.37,"Canada","Leo UM-17","Urban","Moderation","Leo","Ontario","Canada"
197,556,"4/1/2015","R3G",1,10268.37,"Canada","Maximus UC-21","Urban","Convenience","VanArsdel","Manitoba","Canada"
198,674,"1/18/2015","M6H",1,8189.37,"Canada","Maximus UC-39","Urban","Convenience","VanArsdel","Ontario","Canada"
199,578,"2/23/2015","M5X",1,9449.37,"Canada","Maximus UC-43","Urban","Convenience","VanArsdel","Ontario","Canada"
200,1180,"2/24/2015","L5N",1,6173.37,"Canada","Pirum UE-16","Urban","Extreme","Pirum","Ontario","Canada"
201,443,"2/24/2015","L5N",1,11084.85,"Canada","Maximus UM-48","Urban","Moderation","VanArsdel","Ontario","Canada"
202,947,"2/24/2015","R3V",1,8504.37,"Canada","Natura UC-10","Urban","Convenience","Natura","Manitoba","Canada"
203,2365,"2/24/2015","K1R",1,6356.7,"Canada","Aliqui UC-13","Urban","Convenience","Aliqui","Ontario","Canada"
204,967,"2/24/2015","R3H",1,8126.37,"Canada","Natura UC-30","Urban","Convenience","Natura","Manitoba","Canada"
205,590,"1/19/2015","R3H",1,10709.37,"Canada","Maximus UC-55","Urban","Convenience","VanArsdel","Manitoba","Canada"
206,1182,"1/19/2015","L5R",1,2519.37,"Canada","Pirum UE-18","Urban","Extreme","Pirum","Ontario","Canada"
207,1522,"1/19/2015","L5R",2,12597.48,"Canada","Quibus RP-14","Rural","Productivity","Quibus","Ontario","Canada"
208,1521,"1/19/2015","L5R",2,12597.48,"Canada","Quibus RP-13","Rural","Productivity","Quibus","Ontario","Canada"
209,674,"4/24/2015","L5N",1,8315.37,"Canada","Maximus UC-39","Urban","Convenience","VanArsdel","Ontario","Canada"
210,549,"4/24/2015","M4E",1,6614.37,"Canada","Maximus UC-14","Urban","Convenience","VanArsdel","Ontario","Canada"
211,2275,"4/24/2015","R3G",1,4724.37,"Canada","Aliqui RS-08","Rural","Select","Aliqui","Manitoba","Canada"
212,1022,"3/15/2015","V6S",1,1889.37,"Canada","Natura YY-23","Youth","Youth","Natura","British Columbia","Canada"
213,1183,"3/15/2015","T5J",1,7433.37,"Canada","Pirum UE-19","Urban","Extreme","Pirum","Alberta","Canada"
214,2055,"3/15/2015","V6H",1,7874.37,"Canada","Currus UE-15","Urban","Extreme","Currus","British Columbia","Canada"
215,826,"1/30/2015","T6T",1,14426.37,"Canada","Natura UM-10","Urban","Moderation","Natura","Alberta","Canada"
216,978,"1/30/2015","T6G",1,9638.37,"Canada","Natura UC-41","Urban","Convenience","Natura","Alberta","Canada"
217,1883,"1/30/2015","T6E",1,9134.37,"Canada","Leo UC-02","Urban","Convenience","Leo","Alberta","Canada"
218,407,"2/8/2015","V6R",1,20505.87,"Canada","Maximus UM-12","Urban","Moderation","VanArsdel","British Columbia","Canada"
219,2055,"2/8/2015","V5W",1,7874.37,"Canada","Currus UE-15","Urban","Extreme","Currus","British Columbia","Canada"
220,443,"2/9/2015","R2G",1,11084.85,"Canada","Maximus UM-48","Urban","Moderation","VanArsdel","Manitoba","Canada"
221,2263,"3/26/2015","T6W",1,4220.37,"Canada","Aliqui RP-60","Rural","Productivity","Aliqui","Alberta","Canada"
222,1009,"3/10/2015","V7W",1,1353.87,"Canada","Natura YY-10","Youth","Youth","Natura","British Columbia","Canada"
223,229,"3/10/2015","T5J",1,7241.85,"Canada","Fama UR-01","Urban","Regular","Fama","Alberta","Canada"
